Site,EROD
Hazen Creek,0.042679424
Hazen Creek,0.069763776
Hazen Creek,0.202428464
Hazen Creek,0.313154017
Hazen Creek,0.06307135
Hazen Creek,0.105022543
Hazen Creek,0.251077947
Hazen Creek,0.198056806
Hazen Creek,0.448922047
Hazen Creek,0.176296684
Inner Harbour,0.064781569
Inner Harbour,0.04290796
Inner Harbour,0.090760845
Inner Harbour,0.074497484
Inner Harbour,0.051603705
Inner Harbour,0.038256153
Inner Harbour,0.065111406
Inner Harbour,0.032994679
Inner Harbour,0.084020635
Spar Cove,0.057063236
Spar Cove,0.042656725
Spar Cove,0.15001012
Spar Cove,0.033852852
Spar Cove,0.111296189
Spar Cove,0.076002944
Spar Cove,0.153272811
Spar Cove,0.196582709
Spar Cove,0.116423161
Spar Cove,0.056814148
Tin Can Beach,0.132579249
Tin Can Beach,0.078498092
Tin Can Beach,0.075673313
Tin Can Beach,0.092620859
Tin Can Beach,0.156982669
Tin Can Beach,0.054465516
Tin Can Beach,-0.000668283
Tin Can Beach,0.057325527
Tin Can Beach,0.123677903
Tin Can Beach,0.10803253
