Site,Year,Analyte ,PAH,Percent
Bayshore,2018,Acenaphthene,0.005,4.166666667
Black Beach,2018,Acenaphthene,0.005,5.882352941
Courtenay Bay,2018,Acenaphthene,0.06,0.855920114
Digby Ferry Terminal,2018,Acenaphthene,0.55,2.06224222
Hazen Creek Nearshore,2018,Acenaphthene,0.005,5.263157895
Inner Harbour,2018,Acenaphthene,0.04,0.539811066
Little River,2018,Acenaphthene,0.02,1.044386423
Marsh Creek WS DS,2018,Acenaphthene,0.05,0.712250712
Saints Rest Beach,2018,Acenaphthene,0.005,5.882352941
Spar Cove,2018,Acenaphthene,0.005,2.222222222
Tin Can Beach,2018,Acenaphthene,0.15,2.071823204
Bayshore,2018,Acenaphthylene,0.005,4.166666667
Black Beach,2018,Acenaphthylene,0.005,5.882352941
Courtenay Bay,2018,Acenaphthylene,0.01,0.142653352
Digby Ferry Terminal,2018,Acenaphthylene,0.12,0.449943757
Hazen Creek Nearshore,2018,Acenaphthylene,0.005,5.263157895
Inner Harbour,2018,Acenaphthylene,0.04,0.539811066
Little River,2018,Acenaphthylene,0.005,0.261096606
Marsh Creek WS DS,2018,Acenaphthylene,0.02,0.284900285
Saints Rest Beach,2018,Acenaphthylene,0.005,5.882352941
Spar Cove,2018,Acenaphthylene,0.005,2.222222222
Tin Can Beach,2018,Acenaphthylene,0.04,0.552486188
Bayshore,2018,Anthracene,0.005,4.166666667
Black Beach,2018,Anthracene,0.005,5.882352941
Courtenay Bay,2018,Anthracene,0.35,4.992867332
Digby Ferry Terminal,2018,Anthracene,1.3,4.874390701
Hazen Creek Nearshore,2018,Anthracene,0.01,10.52631579
Inner Harbour,2018,Anthracene,0.23,3.10391363
Little River,2018,Anthracene,0.06,3.133159269
Marsh Creek WS DS,2018,Anthracene,0.38,5.413105413
Saints Rest Beach,2018,Anthracene,0.005,5.882352941
Spar Cove,2018,Anthracene,0.005,2.222222222
Tin Can Beach,2018,Anthracene,0.27,3.729281768
Bayshore,2018,Benz[a]anthracene,0.01,8.333333333
Black Beach,2018,Benz[a]anthracene,0.005,5.882352941
Courtenay Bay,2018,Benz[a]anthracene,0.73,10.41369472
Digby Ferry Terminal,2018,Benz[a]anthracene,2,7.499062617
Hazen Creek Nearshore,2018,Benz[a]anthracene,0.005,5.263157895
Inner Harbour,2018,Benz[a]anthracene,0.69,9.311740891
Little River,2018,Benz[a]anthracene,0.14,7.310704961
Marsh Creek WS DS,2018,Benz[a]anthracene,0.66,9.401709402
Saints Rest Beach,2018,Benz[a]anthracene,0.005,5.882352941
Spar Cove,2018,Benz[a]anthracene,0.02,8.888888889
Tin Can Beach,2018,Benz[a]anthracene,0.55,7.596685083
Bayshore,2018,"Benzo(g,h,i)perylene-D12",0.005,4.166666667
Black Beach,2018,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Courtenay Bay,2018,"Benzo(g,h,i)perylene-D12",0.14,1.997146933
Digby Ferry Terminal,2018,"Benzo(g,h,i)perylene-D12",0.39,1.46231721
Hazen Creek Nearshore,2018,"Benzo(g,h,i)perylene-D12",0.005,5.263157895
Inner Harbour,2018,"Benzo(g,h,i)perylene-D12",0.2,2.699055331
Little River,2018,"Benzo(g,h,i)perylene-D12",0.27,14.09921671
Marsh Creek WS DS,2018,"Benzo(g,h,i)perylene-D12",0.19,2.706552707
Saints Rest Beach,2018,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Spar Cove,2018,"Benzo(g,h,i)perylene-D12",0.005,2.222222222
Tin Can Beach,2018,"Benzo(g,h,i)perylene-D12",0.13,1.79558011
Bayshore,2018,Benzo[a]pyrene,0.005,4.166666667
Black Beach,2018,Benzo[a]pyrene,0.005,5.882352941
Courtenay Bay,2018,Benzo[a]pyrene,0.44,6.276747504
Digby Ferry Terminal,2018,Benzo[a]pyrene,1.2,4.49943757
Hazen Creek Nearshore,2018,Benzo[a]pyrene,0.005,5.263157895
Inner Harbour,2018,Benzo[a]pyrene,0.57,7.692307692
Little River,2018,Benzo[a]pyrene,0.11,5.744125326
Marsh Creek WS DS,2018,Benzo[a]pyrene,0.37,5.270655271
Saints Rest Beach,2018,Benzo[a]pyrene,0.005,5.882352941
Spar Cove,2018,Benzo[a]pyrene,0.01,4.444444444
Tin Can Beach,2018,Benzo[a]pyrene,0.38,5.248618785
