PAH_analyte,Mean_concentration,SD,Percent_of_total,Year
Acenaphthene,0.0814,0.161,1.547528517,2018
Acenaphthylene,0.0236,0.0348,0.448669202,2018
Anthracene,0.238,0.382,4.524714829,2018
Benz[a]anthracene,0.438,0.605,8.326996198,2018
"Benzo(g,h,i)perylene-D12",0.122,0.132,2.319391635,2018
Benzo[a]pyrene,0.282,0.371,5.36121673,2018
"Benzo[b,j]fluoranthene",0.441,0.556,8.384030418,2018
Benzo[e]pyrene,0.237,0.259,4.505703422,2018
Benzo[k]fluoranthene,0.173,0.218,3.288973384,2018
Chrysene + Triphenylene,0.429,0.566,8.155893536,2018
"Dibenz[a,h]anthracene",0.035,0.038,0.66539924,2018
Fluoranthene,0.911,1.42,17.31939163,2018
Fluorene,0.127,0.239,2.414448669,2018
"Indeno[1,2,3-cd]pyrene",0.126,0.15,2.395437262,2018
Naphthalene,0.126,0.297,2.395437262,2018
Phenanthrene,0.753,1.46,14.31558935,2018
Pyrene,0.718,1.15,13.65019011,2018
Acenaphthene,0.0405,0.0971,0.582733813,2019
Acenaphthylene,0.032,0.0588,0.460431655,2019
Anthracene,0.283,0.953,4.071942446,2019
Benz[a]anthracene,0.601,2.6,8.647482014,2019
"Benzo(g,h,i)perylene-D12",0.154,0.393,2.215827338,2019
Benzo[a]pyrene,0.363,1.24,5.223021583,2019
"Benzo[b,j]fluoranthene",0.519,1.86,7.467625899,2019
Benzo[e]pyrene,0.299,0.945,4.302158273,2019
Benzo[k]fluoranthene,0.206,0.721,2.964028777,2019
Chrysene + Triphenylene,0.522,2.12,7.510791367,2019
"Dibenz[a,h]anthracene",0.0503,0.13,0.723741007,2019
Fluoranthene,1.86,9.39,26.76258993,2019
Fluorene,0.106,0.342,1.525179856,2019
"Indeno[1,2,3-cd]pyrene",0.171,0.485,2.460431655,2019
Naphthalene,0.0328,0.0614,0.471942446,2019
Phenanthrene,0.445,1.24,6.402877698,2019
Pyrene,1.26,5.83,18.1294964,2019
Acenaphthene,0.102,0.412,1.197183099,2020
Acenaphthylene,0.0268,0.0728,0.314553991,2020
Anthracene,0.382,1.4,4.483568075,2020
Benz[a]anthracene,0.599,1.81,7.030516432,2020
"Benzo(g,h,i)perylene-D12",0.204,0.629,2.394366197,2020
Benzo[a]pyrene,0.442,1.44,5.187793427,2020
"Benzo[b,j]fluoranthene",0.506,1.36,5.938967136,2020
Benzo[e]pyrene,0.26,0.741,3.051643192,2020
Benzo[k]fluoranthene,0.208,0.626,2.441314554,2020
Chrysene + Triphenylene,0.518,1.53,6.079812207,2020
"Dibenz[a,h]anthracene",0.0669,0.213,0.785211268,2020
Fluoranthene,1.87,6.21,21.94835681,2020
Fluorene,0.168,0.612,1.971830986,2020
"Indeno[1,2,3-cd]pyrene",0.261,0.84,3.063380282,2020
Naphthalene,0.12,0.592,1.408450704,2020
Phenanthrene,1.31,4.63,15.37558685,2020
Pyrene,1.47,4.83,17.25352113,2020
Acenaphthene,0.0598,0.17,1.349887133,2021
Acenaphthylene,0.0314,0.0562,0.708803612,2021
Anthracene,0.211,0.477,4.762979684,2021
Benz[a]anthracene,0.331,0.657,7.471783296,2021
"Benzo(g,h,i)perylene-D12",0.173,0.319,3.905191874,2021
Benzo[a]pyrene,0.321,0.607,7.246049661,2021
"Benzo[b,j]fluoranthene",0.4,0.776,9.029345372,2021
Benzo[e]pyrene,0.19,0.339,4.288939052,2021
Benzo[k]fluoranthene,0.14,0.273,3.16027088,2021
Chrysene + Triphenylene,0.278,0.575,6.275395034,2021
"Dibenz[a,h]anthracene",0.0489,0.0865,1.103837472,2021
Fluoranthene,0.747,1.49,16.86230248,2021
Fluorene,0.0838,0.199,1.891647856,2021
"Indeno[1,2,3-cd]pyrene",0.187,0.358,4.221218962,2021
Naphthalene,0.0371,0.0852,0.837471783,2021
Phenanthrene,0.56,1.26,12.64108352,2021
Pyrene,0.63,1.27,14.22121896,2021
Acenaphthene,0.0379,0.0626,1.238562092,2022
Acenaphthylene,0.0278,0.0457,0.908496732,2022
Anthracene,0.132,0.255,4.31372549,2022
Benz[a]anthracene,0.239,0.393,7.810457516,2022
"Benzo(g,h,i)perylene-D12",0.103,0.159,3.366013072,2022
Benzo[a]pyrene,0.229,0.38,7.483660131,2022
"Benzo[b,j]fluoranthene",0.243,0.353,7.941176471,2022
Benzo[e]pyrene,0.134,0.212,4.379084967,2022
Benzo[k]fluoranthene,0.0993,0.167,3.245098039,2022
Chrysene + Triphenylene,0.189,0.312,6.176470588,2022
"Dibenz[a,h]anthracene",0.0278,0.0408,0.908496732,2022
Fluoranthene,0.526,0.91,17.18954248,2022
Fluorene,0.0566,0.105,1.849673203,2022
"Indeno[1,2,3-cd]pyrene",0.118,0.193,3.85620915,2022
Naphthalene,0.0382,0.0486,1.248366013,2022
Phenanthrene,0.408,0.731,13.33333333,2022
Pyrene,0.455,0.783,14.86928105,2022
