Site,Sitecode,SedimentPAH,Year
Bayshore,BS,0.12,2018
Bayshore,BS,0.17,2019
Bayshore,BS,0.17,2019
Bayshore,BS,0.085,2019
Bayshore,BS,0.085,2020
Bayshore,BS,0.085,2020
Bayshore,BS,0.085,2020
Bayshore,BS,0.085,2021
Bayshore,BS,0.085,2021
Bayshore,BS,0.085,2021
Bayshore,BS,0.13,2021
Bayshore,BS,0.085,2022
Bayshore,BS,0.085,2022
Black Beach,BB,0.085,2018
Black Beach,BB,0.17,2019
Black Beach,BB,0.17,2019
Black Beach,BB,0.1,2019
Black Beach,BB,0.085,2020
Black Beach,BB,0.085,2020
Black Beach,BB,0.085,2020
Black Beach,BB,0.085,2021
Black Beach,BB,0.085,2021
Black Beach,BB,0.085,2021
Black Beach,BB,0.085,2021
Black Beach,BB,0.085,2022
Black Beach,BB,0.085,2022
Courtenay Bay,CB,7.01,2018
Courtenay Bay,CB,1.71,2019
Courtenay Bay,CB,1.54,2019
Courtenay Bay,CB,3.345,2019
Courtenay Bay,CB,1.385,2020
Courtenay Bay,CB,2.235,2020
Courtenay Bay,CB,5,2020
Courtenay Bay,CB,9.93,2021
Courtenay Bay,CB,0.16,2021
Courtenay Bay,CB,2.275,2021
Courtenay Bay,CB,1.81,2021
Courtenay Bay,CB,2.405,2022
Courtenay Bay,CB,5.145,2022
Digby Ferry Terminal ,DFT,26.67,2018
Digby Ferry Terminal ,DFT,0.23,2019
Digby Ferry Terminal ,DFT,2.59,2019
Digby Ferry Terminal ,DFT,0.83,2019
Digby Ferry Terminal ,DFT,1.32,2020
Digby Ferry Terminal ,DFT,0.495,2020
Digby Ferry Terminal ,DFT,4.91,2020
Digby Ferry Terminal ,DFT,2.24,2021
Digby Ferry Terminal ,DFT,4.82,2021
Digby Ferry Terminal ,DFT,5.15,2021
Digby Ferry Terminal ,DFT,0.435,2021
Digby Ferry Terminal ,DFT,0.135,2022
Digby Ferry Terminal ,DFT,3.4,2022
Hazen Creek Mouth,HCM,0.17,2019
Hazen Creek Mouth,HCM,0.25,2019
Hazen Creek Mouth,HCM,0.085,2019
Hazen Creek Mouth,HCM,0.085,2020
Hazen Creek Mouth,HCM,0.085,2020
Hazen Creek Mouth,HCM,0.085,2020
Hazen Creek Mouth,HCM,0.085,2021
Hazen Creek Mouth,HCM,0.225,2021
Hazen Creek Mouth,HCM,0.115,2021
Hazen Creek Mouth,HCM,0.085,2021
Hazen Creek Mouth,HCM,1.705,2022
Hazen Creek Mouth,HCM,0.085,2022
Hazen Creek Nearshore,HCNS,0.095,2018
Hazen Creek Nearshore,HCNS,0.17,2019
Hazen Creek Nearshore,HCNS,0.2,2019
Hazen Creek Nearshore,HCNS,0.085,2019
Hazen Creek Nearshore,HCNS,0.2,2020
Hazen Creek Nearshore,HCNS,0.085,2020
