Site,SedimentPAH,Year
Bayshore,0.12,2018
Black Beach,0.085,2018
Courtenay Bay,7.01,2018
Digby Ferry Terminal,26.67,2018
Hazen Creek Nearshore,0.095,2018
Inner Harbour,7.41,2018
Little River,1.92,2018
Marsh Creek,7.02,2018
Saints Rest Beach,0.085,2018
Spar Cove,0.225,2018
Tin Can Beach,7.24,2018
Bayshore,0.17,2019
Bayshore,0.17,2019
Bayshore,0.085,2019
Black Beach,0.17,2019
Black Beach,0.17,2019
Black Beach,0.1,2019
Courtenay Bay,1.71,2019
Courtenay Bay,1.54,2019
Courtenay Bay,3.35,2019
Digby Ferry Terminal,0.23,2019
Digby Ferry Terminal,2.59,2019
Digby Ferry Terminal,0.83,2019
Hazen Creek Mouth,0.17,2019
Hazen Creek Mouth,0.25,2019
Hazen Creek Mouth,0.085,2019
Hazen Creek Nearshore,0.17,2019
Hazen Creek Nearshore,0.2,2019
Hazen Creek Nearshore,0.085,2019
Inner Harbour,0.4,2019
Inner Harbour,0.38,2019
Inner Harbour,0.51,2019
Little River,1.31,2019
Little River,1.11,2019
Little River,6.05,2019
Marsh Creek,14.04,2019
Marsh Creek,34.33,2019
Marsh Creek,167.32,2019
Mispec Beach,0.17,2019
Mispec Beach,0.17,2019
Mispec Beach,0.085,2019
Saints Rest Beach,0.17,2019
Saints Rest Beach,0.17,2019
Saints Rest Beach,0.085,2019
Spar Cove,3.6,2019
Spar Cove,16.32,2019
Tin Can Beach,2.1,2019
Tin Can Beach,1.47,2019
Tin Can Beach,2.105,2019
Bayshore,0.085,2020
Bayshore,0.085,2020
Bayshore,0.085,2020
Black Beach,0.085,2020
Black Beach,0.085,2020
Black Beach,0.085,2020
Courtenay Bay,1.39,2020
Courtenay Bay,2.24,2020
Courtenay Bay,5,2020
Digby Ferry Terminal,1.32,2020
Digby Ferry Terminal,0.5,2020
Digby Ferry Terminal,4.91,2020
Hazen Creek Mouth,0.085,2020
Hazen Creek Mouth,0.085,2020
Hazen Creek Mouth,0.085,2020
Hazen Creek Nearshore,0.2,2020
Hazen Creek Nearshore,0.085,2020
Hazen Creek Nearshore,0.21,2020
Inner Harbour,0.47,2020
Inner Harbour,0.39,2020
Inner Harbour,0.65,2020
Little River,4.125,2020
Little River,1.44,2020
Little River,1.945,2020
Marsh Creek,11.8,2020
Marsh Creek,41,2020
Marsh Creek,142.94,2020
Mispec Beach,0.085,2020
Mispec Beach,0.085,2020
Mispec Beach,0.085,2020
Saints Rest Beach,0.085,2020
Saints Rest Beach,0.085,2020
Saints Rest Beach,0.085,2020
Spar Cove,6.65,2020
Spar Cove,5.34,2020
Spar Cove,84.26,2020
Tin Can Beach,3.15,2020
Tin Can Beach,3.78,2020
Tin Can Beach,7.07,2020
Bayshore,0.085,2021
Bayshore,0.085,2021
Bayshore,0.085,2021
Bayshore,0.13,2021
Black Beach,0.085,2021
Black Beach,0.085,2021
Black Beach,0.085,2021
Black Beach,0.085,2021
Courtenay Bay,9.93,2021
Courtenay Bay,0.16,2021
Courtenay Bay,2.28,2021
Courtenay Bay,1.81,2021
Digby Ferry Terminal,2.24,2021
Digby Ferry Terminal,4.82,2021
Digby Ferry Terminal,5.15,2021
Digby Ferry Terminal,0.44,2021
Hazen Creek Mouth,0.085,2021
Hazen Creek Mouth,0.23,2021
Hazen Creek Mouth,0.12,2021
Hazen Creek Mouth,0.085,2021
Hazen Creek Nearshore,0.245,2021
Hazen Creek Nearshore,0.085,2021
Hazen Creek Nearshore,0.085,2021
Hazen Creek Nearshore,0.44,2021
Hazen Creek Nearshore,0.085,2021
Hazen Creek Nearshore,0.085,2021
Inner Harbour,0.785,2021
Inner Harbour,0.17,2021
Inner Harbour,2.335,2021
Inner Harbour,0.585,2021
Inner Harbour,3.6,2021
Inner Harbour,0.46,2021
Little River,10.635,2021
Little River,15.55,2021
Little River,1.83,2021
Little River,6.395,2021
Marsh Creek,12.72,2021
Marsh Creek,13.87,2021
Marsh Creek,23.69,2021
Marsh Creek,38.72,2021
Mispec Beach,0.085,2021
Mispec Beach,0.085,2021
Mispec Beach,0.085,2021
Mispec Beach,0.085,2021
Saints Rest Beach,0.085,2021
Saints Rest Beach,0.085,2021
Saints Rest Beach,0.085,2021
Saints Rest Beach,0.085,2021
Spar Cove,5.04,2021
Spar Cove,5.68,2021
Spar Cove,6.33,2021
Spar Cove,9.53,2021
Spar Cove,1.58,2021
Spar Cove,0.56,2021
Tin Can Beach,49.3,2021
Tin Can Beach,7.57,2021
Tin Can Beach,4.33,2021
Tin Can Beach,9.28,2021
Tin Can Beach,2.295,2021
Tin Can Beach,3.215,2021
Bayshore,0.085,2022
Bayshore,0.085,2022
Black Beach,0.085,2022
Black Beach,0.085,2022
Courtenay Bay,2.41,2022
Courtenay Bay,5.15,2022
Digby Ferry Terminal,0.14,2022
Digby Ferry Terminal,3.4,2022
Hazen Creek Mouth,1.71,2022
Hazen Creek Mouth,0.085,2022
Hazen Creek Nearshore,0.085,2022
Hazen Creek Nearshore,0.085,2022
Hazen Creek Nearshore,0.085,2022
Hazen Creek Nearshore,0.125,2022
Inner Harbour,5.36,2022
Inner Harbour,0.555,2022
Inner Harbour,1.335,2022
Inner Harbour,0.195,2022
Little River,0.68,2022
Little River,0.98,2022
Marsh Creek,18.59,2022
Marsh Creek,2.64,2022
Mispec Beach,0.085,2022
Mispec Beach,0.085,2022
Saints Rest Beach,0.085,2022
Saints Rest Beach,0.085,2022
Spar Cove,0.38,2022
Spar Cove,20.33,2022
Spar Cove,4.08,2022
Spar Cove,12.91,2022
Tin Can Beach,6.38,2022
Tin Can Beach,5.99,2022
Tin Can Beach,3.53,2022
Tin Can Beach,6.3,2022
